,Frequency
Pre_235,84.0
Pre_637,84.0
Pre_585,84.0
Pre_2135,84.0
Pre_402,84.0
Pre_2623,84.0
Pre_373,85.0
Pre_2523,85.0
Pre_2449,85.0
Pre_2803,85.0
Pre_2060,85.0
Pre_2708,85.0
Pre_2508,85.0
Pre_1326,85.0
Pre_398,85.0
Pre_2494,85.0
Pre_2262,85.0
Pre_495,85.0
Pre_2108,85.0
Pre_814,86.0
Pre_1225,86.0
Pre_441,86.0
Pre_252,86.0
Pre_234,86.0
Pre_1261,86.0
Pre_2572,86.0
Pre_1101,86.0
Pre_2675,86.0
Pre_1667,86.0
Pre_1626,86.0
Pre_2259,86.0
Pre_2066,86.0
Pre_991,86.0
Pre_2122,87.0
Pre_577,87.0
Pre_1526,87.0
Pre_2156,87.0
Pre_1383,87.0
Pre_2710,87.0
Pre_2258,87.0
Pre_1725,87.0
Pre_2236,87.0
Pre_1918,87.0
Pre_1447,87.0
Pre_2015,88.0
Pre_1395,88.0
Pre_2578,88.0
Pre_880,88.0
Pre_1394,88.0
Pre_1357,88.0
Pre_1471,88.0
Pre_2072,88.0
Pre_462,88.0
Pre_2571,88.0
Pre_999,88.0
Pre_1822,88.0
Pre_350,88.0
Pre_334,88.0
Pre_1614,88.0
Pre_276,88.0
Pre_1926,88.0
Pre_1224,88.0
Pre_869,88.0
Pre_1902,88.0
Pre_175,88.0
Pre_962,88.0
Pre_573,88.0
Pre_2342,89.0
Pre_587,89.0
Pre_430,89.0
Pre_1262,89.0
Pre_520,89.0
Pre_2209,89.0
Pre_2194,89.0
Pre_81,89.0
Pre_1867,89.0
Pre_216,89.0
Pre_1108,89.0
Pre_1449,89.0
Pre_1445,89.0
Pre_1477,89.0
Pre_1051,89.0
Pre_2465,89.0
Pre_1191,89.0
Pre_166,89.0
Pre_407,89.0
Pre_937,89.0
Pre_2074,89.0
Pre_2452,89.0
Pre_1373,89.0
Pre_1770,89.0
Pre_463,89.0
Pre_1304,89.0
Pre_645,89.0
Pre_872,89.0
Pre_874,89.0
Pre_871,89.0
Pre_519,89.0
Pre_873,89.0
Pre_870,89.0
Pre_497,90.0
Pre_1756,90.0
Pre_2447,90.0
Pre_1661,90.0
Pre_277,90.0
Pre_2290,90.0
Pre_1276,90.0
Pre_1868,90.0
Pre_1663,90.0
Pre_1058,90.0
Pre_1566,90.0
Pre_2754,90.0
Pre_13,90.0
Pre_1142,90.0
Pre_1417,91.0
Pre_1497,91.0
Pre_878,91.0
Pre_2761,91.0
Pre_1220,91.0
Pre_1458,91.0
Pre_1245,91.0
Pre_1866,91.0
Pre_210,91.0
Pre_1221,91.0
Pre_219,91.0
Pre_699,91.0
Pre_590,91.0
Pre_479,91.0
Pre_2562,91.0
Pre_2120,91.0
Pre_591,91.0
Pre_505,91.0
Pre_369,91.0
Pre_483,91.0
Pre_2806,92.0
Pre_2616,92.0
Pre_2665,92.0
Pre_551,92.0
Pre_1981,92.0
Pre_349,92.0
Pre_65,92.0
Pre_613,92.0
Pre_1470,92.0
Pre_2446,92.0
Pre_615,92.0
Pre_1264,92.0
Pre_2746,92.0
Pre_610,92.0
Pre_614,92.0
Pre_1870,93.0
Pre_1444,93.0
Pre_1765,93.0
Pre_1769,93.0
Pre_1298,93.0
Pre_1465,93.0
Pre_1976,93.0
Pre_2548,93.0
Pre_1594,93.0
Pre_2821,94.0
Pre_1980,94.0
Pre_1017,94.0
Pre_1356,94.0
Pre_105,94.0
Pre_595,94.0
Pre_104,94.0
Pre_1515,94.0
Pre_90,94.0
Pre_2022,94.0
Pre_931,94.0
Pre_1042,94.0
Pre_2474,94.0
Pre_388,94.0
Pre_2445,94.0
Pre_1506,94.0
Pre_2237,94.0
Pre_1969,94.0
Pre_1570,94.0
Pre_1290,94.0
Pre_1281,94.0
Pre_838,94.0
Pre_1228,94.0
Pre_2394,94.0
Pre_1278,95.0
Pre_2189,95.0
Pre_1457,95.0
Pre_2790,95.0
Pre_199,95.0
Pre_2393,95.0
Pre_2756,95.0
Pre_709,95.0
Pre_2159,95.0
Pre_1355,95.0
Pre_2715,95.0
Pre_1708,95.0
Pre_1709,95.0
Pre_2865,95.0
Pre_740,95.0
Pre_1446,95.0
Pre_1222,95.0
Pre_1549,95.0
Pre_469,95.0
Pre_120,95.0
Pre_2517,95.0
Pre_2753,95.0
Pre_859,96.0
Pre_1940,96.0
Pre_919,96.0
Pre_2483,96.0
Pre_1285,96.0
Pre_353,96.0
Pre_2762,96.0
Pre_1057,96.0
Pre_2204,96.0
Pre_1514,96.0
Pre_2162,96.0
Pre_1038,96.0
Pre_1879,96.0
Pre_1899,96.0
Pre_805,96.0
Pre_1548,96.0
Pre_1891,96.0
Pre_2400,96.0
Pre_912,96.0
Pre_1941,96.0
Pre_2853,96.0
Pre_1979,96.0
Pre_1302,96.0
Pre_1774,96.0
Pre_496,96.0
Pre_461,96.0
Pre_387,97.0
Pre_1999,97.0
Pre_1161,97.0
Pre_1937,97.0
Pre_205,97.0
Pre_1503,97.0
Pre_973,97.0
Pre_1139,97.0
Pre_752,97.0
Pre_1502,97.0
Pre_959,97.0
Pre_658,97.0
Pre_2824,97.0
Pre_1956,97.0
Pre_2235,97.0
Pre_1259,97.0
Pre_1411,97.0
Pre_1344,97.0
Pre_371,97.0
Pre_1721,97.0
Pre_248,97.0
Pre_1745,97.0
Pre_2644,97.0
Pre_1797,97.0
Pre_1968,97.0
Pre_2818,97.0
Pre_2591,97.0
Pre_1955,97.0
Pre_2738,98.0
Pre_1811,98.0
Pre_317,98.0
Pre_1005,98.0
Pre_310,98.0
Pre_14,98.0
Pre_305,98.0
Pre_1890,98.0
Pre_1803,98.0
Pre_2153,98.0
Pre_2115,98.0
Pre_2121,98.0
Pre_1519,98.0
Pre_808,98.0
Pre_75,98.0
Pre_146,98.0
Pre_2558,98.0
Pre_2786,98.0
Pre_2870,98.0
Pre_2325,98.0
Pre_2197,98.0
Pre_2770,98.0
Pre_34,98.0
Pre_458,98.0
Pre_204,98.0
Pre_1380,98.0
Pre_510,98.0
Pre_1055,98.0
Pre_960,98.0
Pre_76,98.0
Pre_2395,98.0
Pre_2461,98.0
Pre_285,98.0
Pre_2177,98.0
Pre_256,98.0
Pre_2064,98.0
Pre_428,99.0
Pre_1004,99.0
Pre_1440,99.0
Pre_2205,99.0
Pre_500,99.0
Pre_29,99.0
Pre_2751,99.0
Pre_2179,99.0
Pre_2438,99.0
Pre_606,99.0
Pre_2830,99.0
Pre_1310,99.0
Pre_1113,99.0
Pre_2176,99.0
Pre_2593,99.0
Pre_697,99.0
Pre_223,99.0
Pre_2107,99.0
Pre_2063,99.0
Pre_156,99.0
Pre_176,99.0
Pre_1597,99.0
Pre_2032,99.0
Pre_284,99.0
Pre_1861,99.0
Pre_1794,99.0
Pre_1815,99.0
Pre_2702,99.0
Pre_1409,100.0
Pre_1746,100.0
Pre_841,100.0
Pre_286,100.0
Pre_1251,100.0
Pre_2673,100.0
Pre_769,100.0
Pre_2435,100.0
