COX5B,P10606,,
COX7A1,P24310,,
COX8A,P10176,,
CP,P00450,,
CPA1,P15085,,
CPA6,Q8N4T0,,
CPB2,Q96IY4,,
CPE,P16870,,
CPEB3,Q8NE35,,
CPED1,A4D0V7,,
CPLX1,O14810,,
CPT1A,P50416,,
CPT1B,Q92523,,
CPT2,P23786,,
CRABP2,P29373,,
CRB1,P82279,,
CREB1,P16220,,
CREBBP,Q92793,,
CREBRF,Q8IUR6,,
CREM,Q03060,,
CRHR1,P34998,,
CRISP2,P16562,,
CRISPLD2,Q9H0B8,,
CRK,P46108,,
CRMP1,Q14194,,
CRP,P02741,,
CRTC1,Q6UUV9,,
CRTC2,Q53ET0,,
CRX,O43186,,
CRY2,Q49AN0,,
CRYZ,Q08257,,
CS,O75390,,
CSAD,Q9Y600,,
CSF2,P04141,,
CSF3,P09919,,
CSHL1,Q14406,,
CST2,P09228,,
CST3,P01034,,
CST7,O76096,,
CTBP1,Q13363,,
CTCF,P49711,,
CTF1,Q16619,,
CTLA4,P16410,,
CTNNA3,Q9UI47,,
CTNNB1,P35222,,
CTRB1,P17538,,
CTRL,P40313,,
CTSC,P53634,,
CTSD,P07339,,
CTSH,P09668,,
CTSL,P07711,,
CTTNBP2,Q8WZ74,,
CUBN,O60494,,
CUX1,P39880,,
CUX1,Q13948,,
CX3CL1,P78423,,
CX3CR1,P49238,,
CXADR,P78310,,
CXCL10,P02778,,
CXCL12,P48061,,
CXCL14,O95715,,
CXCL16,Q9H2A7,,
CXCL5,P42830,,
CXCL8,P10145,,
CXCR1,P25024,,
CXCR3,P49682,,
CXCR4,P61073,,
CXCR6,O00574,,
CYB5A,P00167,,
CYB5D2,Q8WUJ1,,
CYB5R4,Q7L1T6,,
CYBA,P13498,,
CYBB,P04839,,
CYP11A1,P05108,,
CYP11B2,P19099,,
CYP17A1,P05093,,
CYP19A1,P11511,,
CYP1A1,P04798,,
CYP1A2,P05177,,
CYP1B1,Q16678,,
CYP21A2,P08686,,
CYP27A1,Q02318,,
CYP27B1,O15528,,
CYP2A6,P11509,,
CYP2B6,P20813,,
CYP2C18,P33260,,
CYP2C19,P33261,,
CYP2C8,P10632,,
CYP2C9,P11712,,
CYP2D6,P10635,,
CYP2E1,P05181,,
CYP2J2,P51589,,
CYP2R1,Q6VVX0,,
CYP3A4,P08684,,
CYP3A5,P20815,,
CYP46A1,Q9Y6A2,,
CYP4F3,Q08477,,
CYP4V2,Q6ZWL3,,
CYP7A1,P22680,,
CYP8B1,Q9UNU6,,
CYRIB,Q9NUQ9,,
CYTB,P00156,,
DACT1,Q9NYF0,,
DAG1,Q14118,,
DAPK2,Q9UIK4,,
DAPK3,O43293,,
DARS1,P14868,,
DARS2,Q6PI48,,
DBH,P09172,,
DBI,P07108,,
DBNL,Q9UJU6,,
DBP,Q10586,,
DCD,P81605,,
DCLRE1C,Q96SD1,,
DCN,P07585,,
DCTN4,Q9UJW0,,
DCX,O43602,,
DDAH1,O94760,,
DDAH2,O95865,,
DDIT3,P0DPQ6,,
DDIT3,P35638,,
DDT,P30046,,
DDX3X,O00571,,
DECR1,Q16698,,
DEFA1,P59665,,
DEFA3,P59666,,
DEFB1,P60022,,
"DEFB103A,DEFB103B",P81534,,
"DEFB4A,DEFB4B",O15263,,
DENR,O43583,,
DEPDC5,O75140,,
DES,P17661,,
DESI1,Q6ICB0,,
DGAT1,O75907,,
DGKB,Q9Y6T7,,
DGKD,Q16760,,
DGKZ,Q13574,,
DHCR7,Q9UBM7,,
DHDDS,Q86SQ9,,
DHDH,Q9UQ10,,
DHX38,Q92620,,
DHX40,Q8IX18,,
DIAPH2,O60879,,
DICER1,Q9UPY3,,
DIO2,Q92813,,
DIP,Q6IC98,,
DISC1,Q9NRI5,,
DKK1,O94907,,
DKK4,Q9UBT3,,
DLC1,P63167,,
DLC1,Q96QB1,,
DLC1,Q9Y238,,
DLD,P09622,,
DLEU1,O43261,,
DLEU7,Q6UYE1,,
DLK1,P80370,,
DLL1,O00548,,
DMAP1,Q9NPF5,,
DMBT1,Q9UGM3,,
DMD,P11532,,
DMP1,Q13316,,
DMP1,Q9Y222,,
DMRTA1,Q5VZB9,,
DNAJB3,Q8WWF6,,
DNAJC27,Q9NZQ0,,
DNAJC3,Q13217,,
DNASE1,P24855,,
DNER,Q8NFT8,,
DNM1L,O00429,,
DNMT1,P26358,,
DNTT,P04053,,
DOC2B,Q14184,,
DOCK4,Q8N1I0,,
DOK5,Q9P104,,
DPP4,P27487,,
DPPA3,Q6W0C5,,
DPT,Q07507,,
DPYD,Q12882,,
DPYS,Q14117,,
